id,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11,label12,label13,label14,label15,label16,label17,level
288,0,16.71959287,0,68.59516788,68.95765885,0,8.47,80.22757812,2.919566667,4.596666667,0,6.896341927,0,0,14692.14,3503.566667,11188.57333,3
289,30.53666667,95.03,-113.0466667,66.24336618,122.08,74.98,0,122.08,0,144.58,0,13.00109187,0,-87.08333333,352.9566667,0,427.9366667,4
290,0,-15.4617906,0,45.90049581,169.3271274,0,-6.243333333,210.737478,4.113666667,4.733333333,0,216.2692307,0,-4.901243749,1165.486667,633.8333333,531.6533333,4
291,84.52,5.446666667,0.886666667,74.17466256,106.5353931,3628.84,0,120.1271707,552.2866667,398.4833333,0,16.25207146,0,1.063333333,5612.19,0,38.14,3
292,0,31.47315352,0,35.38456746,309.9752386,62687133.01,1.966666667,310.0956689,1089.193333,1.656666667,0,-25.02282819,0,41.0592644,86652255.18,49077069.54,100262318.7,2
293,1.07,6.1477501,0,46.56643533,145.5715272,6530.266667,0,145.9055267,452.6766667,3.163333333,0,3.881577142,0,0.322844347,6928.7,3597.403333,9861.563333,2
294,64.89,-204.0266667,-19.48,71.77927539,145.7937727,3209.403333,0,159.9116277,1172.486667,30239.78667,0,-65.20803565,0,-24.19666667,4392.696667,0,-268.1766667,3
295,0,42.11549056,0,24.64144007,496.8180367,0,0,582.1602283,0,3.946666667,0,140.9430582,0,59.70739251,6151.576667,5160.89,990.6866667,2
296,0,-243.3922071,0,10.58597126,656.562634,0,1.193333333,667.3939701,56.87,2.336666667,0,0,0,-89.31216782,23876724.78,4159079.247,19717645.54,3
297,0.953333333,3.08758063,0,46.9592642,262.7652388,291.0433333,0,262.7652388,8.276666667,14.19,0,-24.36217125,0,6.18993335,279.8133333,130.11,440.7466667,4
298,0.773333333,-107.9516448,0,43.05254612,222.1432277,0,0,222.210553,279.51,4.236666667,0,-56.55644084,0,-96.65251299,10952.95,8503.333333,2449.616667,3
299,0.23,-10.62167152,0,5.176855091,167.6712381,443.6033333,0,271.0482036,1.55,11.68666667,0,-973.1100319,0,-55.95336122,1881.043333,2817.356667,-492.71,3
300,0,210.8848649,0,10.74943256,1923.505033,3360.986667,0,1923.505033,1.55,11.68666667,0,1091.598691,0,40.90333333,2387.566667,1724.473333,4024.08,4
301,41.72666667,9.265094162,8.356666667,7.88709509,1240.398114,37601.33333,0,1240.846165,59133.96333,182.61,0,94.87066822,0,43.44,99225.04,113535.7967,10539.40667,1
